SubID	Agent fee	Seats	Travel from	Destination	Vehicle class
bpb-bangkok-to-pattaya-guideshortanswer	EUR 0.20	1	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-don-mueang-airport-to-pattaya-mobilesticky	EUR 0.89	2	Pattaya North Bus Station	Ekkamai	bus
bpb-bangkok-to-pattaya-mobilesticky	EUR 0.30	1	Pattaya North Bus Station	Suvarnabhumi	bus
bpb-bangkok-to-pattaya-guideshortanswer	EUR 0.67	1	Pattaya North Bus Station	Ekkamai	bus
bpb-bangkok-to-pattaya-guideshortanswer	EUR 0.67	1	Ekkamai	Pattaya North Bus Station	bus
bpb-pattaya-to-suvarnabhumi-airport-mobilesticky	EUR 0.24	1	Jomtien Bus station	Suvarnabhumi	bus
bpb-pattaya-to-don-mueang-airport-desktopsidebar	EUR 0.20	1	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-pattaya-to-suvarnabhumi-airport-mobilesticky	EUR 0.26	2	Pattaya North Bus Station	Suvarnabhumi	bus
bpb-don-mueang-airport-to-pattaya-mobilesticky	EUR 0.20	1	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-don-mueang-airport-to-pattaya-mobilesticky	EUR 0.41	2	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-pattaya-to-suvarnabhumi-airport-routeairporttransfer	EUR 0.92	7	Pattaya North Bus Station	Suvarnabhumi	bus
bpb-don-mueang-airport-to-pattaya-guideshortanswer	EUR 0.41	2	Don Mueang Bus Station	Pattaya Bus Terminal	bus
bpb-bangkok-to-pattaya-guideshortanswer	EUR 1.25	2	Ekkamai	Pattaya North Bus Station	bus
bpb-don-mueang-airport-to-pattaya-mobilesticky	EUR 0.41	2	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-pattaya-to-bangkok-mobilesticky	EUR 0.76	1	Jomtien Bus station	Suvarnabhumi	bus
bpb-pattaya-to-don-mueang-airport-mobilesticky	EUR 0.20	1	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-pattaya-to-don-mueang-airport-mobilesticky	EUR 0.20	1	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-don-mueang-airport-to-pattaya-routecommercialhelp	EUR 0.61	3	Don Mueang Bus Station	Pattaya Bus Terminal	bus
bpb-pattaya-to-bangkok-mobilesticky	EUR 1.65	2	Pannipa Pattaya Tour Office Central Pattaya	Mo Chit BTS Station	van
bpb-don-mueang-airport-to-pattaya-mobilesticky	EUR 0.41	2	Don Mueang Bus Station	Pattaya Bus Terminal	bus
